impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K16-087657,A487769,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1515300,LOST,Milo,Cat,Over 1 year,Male,Domestic Longhair,Unknown,02/12/2016 12:00:00 AM,Date Lost,25TH AVE NE & 244TH ST,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1515300,Image Copyright HLP Inc. 2016,"25TH AVE NE &amp; 244TH ST
",Description: Milo is an indoor cat that has never before been outside. He is very timid in new situations and around new people.<p></p>Age: Over 1 year<p></p>Location Lost: 25th AVE NE &amp; 244th St<p></p>Notes: <p></p>Lost Date: 02/12/2016<p></p>
K16-087650,A487760,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1514968,LOST,Turbo,Dog,Over 1 year,Male,Cavalier King Charles Spaniel,Unknown,02/12/2016 12:00:00 AM,Date Lost,SE 208TH ST,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1514968,Image Copyright HLP Inc. 2016,"SE 208TH ST
",Description: Friendly quiet very approachable<p></p>Age: Over 1 year<p></p>Location Lost: SE 208th St<p></p>Notes: Very friendly and approachable rarely barks<p></p>Lost Date: 02/12/2016<p></p>
K16-087631,A487740,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1514646,LOST,Mossimo,Cat,Over 1 year,Male,Domestic Shorthair,Unknown,02/12/2016 12:00:00 AM,Date Lost,22ND SW AND SW 98TH ST,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1514646,Image Copyright HLP Inc. 2016,"22ND SW AND SW 98TH ST
(47.515545, -122.361867)",Description: Slightly notched ears<p></p>Age: Over 1 year<p></p>Location Lost: 22nd SW and SW 98th St<p></p>Notes: Gray with white trim<p></p>Lost Date: 02/12/2016<p></p>
K16-087593,A487698,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A487698,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Org Tabby,02/11/2016 12:00:00 AM,Received on,36300 21ST CT S,FEDERAL WAY,WA,98003,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A487698,Image Copyright HLP Inc. 2016,"36300 21ST CT S
FEDERAL WAY, WA 98003
(47.276033, -122.306599)","Received on: 2016-02-11<p></p> Found Near: 36300 21ST CT S, FEDERAL WAY WA 98003<p></p> Description: Org Tabby Neutered Male Domestic Shorthair Cat<p></p> Age: 2 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087594,A487697,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A487697,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,2 YEARS,Neutered Male,Domestic Shorthair,White / Black,02/11/2016 12:00:00 AM,Received on,36300 21ST CT S,FEDERAL WAY,WA,98003,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A487697,Image Copyright HLP Inc. 2016,"36300 21ST CT S
FEDERAL WAY, WA 98003
(47.276033, -122.306599)","Received on: 2016-02-11<p></p> Found Near: 36300 21ST CT S, FEDERAL WAY WA 98003<p></p> Description: White / Black Neutered Male Domestic Shorthair Cat<p></p> Age: 2 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087610,A487720,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1514363,In Public Home,,Dog,Over 1 year,Male,Labrador Retriever,Brown / Brown,02/11/2016 12:00:00 AM,Date Found,14TH AVE WEST AND 234TH ST SW,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1514363,Image Copyright HLP Inc. 2016,"14TH AVE WEST AND 234TH ST SW
(47.785989, -122.251972)",Description: Heavily built chocolate lab. Canvas/nylon collar. No ID tag or microchip Found.<p></p>Age: Over 1 year<p></p>Location Found: 14th ave west and 234th st sw<p></p>Notes: <p></p>Found Date: 02/11/2016<p></p>Finder Address:  bothell wa 98021
K16-087556,A487598,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1513467,In Public Home,,Dog,Under 1 year,Male,Boxer,Brown / Black,02/10/2016 12:00:00 AM,Date Found,12101 TUKWILA INTERNATIONAL BOULEVARD #3,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1513467,Image Copyright HLP Inc. 2016,"12101 TUKWILA INTERNATIONAL BOULEVARD #3
",Description: <p></p>Age: Under 1 year<p></p>Location Found: 12101 Tukwila International Boulevard #3<p></p>Notes: <p></p>Found Date: 02/10/2016<p></p>Finder Address:  Seattle Wa 98168
K16-087555,A487598,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1513457,In Public Home,,Dog,Under 1 year,Male,Boxer,Brown / Black,02/10/2016 12:00:00 AM,Date Found,12101 TUKWILA INTERNATIONAL BOULEVARD #3,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1513457,Image Copyright HLP Inc. 2016,"12101 TUKWILA INTERNATIONAL BOULEVARD #3
",Description: <p></p>Age: Under 1 year<p></p>Location Found: 12101 Tukwila International Boulevard #3<p></p>Notes: <p></p>Found Date: 02/10/2016<p></p>Finder Address:  Seattle Wa 98168
K16-087556,A487598,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1513467,In Public Home,,Dog,Under 1 year,Male,Boxer,Brown / Black,02/10/2016 12:00:00 AM,Date Found,12101 TUKWILA INTERNATIONAL BOULEVARD #3,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1513467,Image Copyright HLP Inc. 2016,"12101 TUKWILA INTERNATIONAL BOULEVARD #3
",Description: <p></p>Age: Under 1 year<p></p>Location Found: 12101 Tukwila International Boulevard #3<p></p>Notes: <p></p>Found Date: 02/10/2016<p></p>Finder Address:  Seattle Wa 98168
K16-087572,A487648,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1513856,LOST,Dexter,Cat,Over 1 year,Male,Domestic Mediumhair,Unknown,02/10/2016 12:00:00 AM,Date Lost,EAST SHORE WOOD DRIVE MERCER ISLAND,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1513856,Image Copyright HLP Inc. 2016,"EAST SHORE WOOD DRIVE MERCER ISLAND
",Description: <p></p>Age: Over 1 year<p></p>Location Lost: East shore wood drive mercer island<p></p>Notes: <p></p>Lost Date: 02/10/2016<p></p>
K16-087584,A080445,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A080445,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Myrtle-May,Cat,12 YEARS,Spayed Female,Domestic Shorthair,Calico / Tricolor,02/10/2016 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A080445,Image Copyright HLP Inc. 2016,,"Received on: 2016-02-10<p></p> Description: Calico / Tricolor<p></p>  Spayed Female Domestic Shorthair Cat<p></p> Age: 12 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p><p></p> Adoption Fee: $30.00<p></p>"
K16-087587,A487694,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1514009,LOST,Luka,Dog,Over 1 year,Female,Siberian Husky,Unknown,02/10/2016 12:00:00 AM,Date Lost,SE 36TH & 132ND AVE SE,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1514009,Image Copyright HLP Inc. 2016,"SE 36TH &amp; 132ND AVE SE
","Description: Very friendly, loves to jump on you.<p></p>Age: Over 1 year<p></p>Location Lost: SE 36th &amp; 132nd Ave SE<p></p>Notes: <p></p>Lost Date: 02/10/2016<p></p>"
K16-087585,A080444,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A080444,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Bobbee,Cat,12 YEARS,Spayed Female,Domestic Shorthair / Manx,Dilute Tor,02/10/2016 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A080444,Image Copyright HLP Inc. 2016,,"Received on: 2016-02-10<p></p> Description: Dilute Tor<p></p>  Spayed Female Domestic Shorthair / Manx Cat<p></p> Age: 12 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p><p></p> Adoption Fee: $30.00<p></p>"
K16-087558,A487612,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Shorthair,Brn Tabby / White,02/10/2016 12:00:00 AM,Received on,26400 124TH AVE SE,KENT,WA,98030,KENT,37.090608,-95.712816,,Image Copyright HLP Inc. 2016,"26400 124TH AVE SE
KENT, WA 98030
(47.36508, -122.176143)","Received on: 2016-02-10<p></p> Found Near: 26400 124TH AVE SE, KENT WA 98030<p></p> Description: Brn Tabby / White Unaltered Domestic Shorthair Cat<p></p> Age: NO AGE<p></p>"
K16-087599,A487708,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1514245,LOST,Pete/ Petey,Cat,Under 1 year,Male,Maine Coon,Unknown,02/10/2016 12:00:00 AM,Date Lost,3000 NE 194TH ST,LAKE FOREST PARK,WA,98155,LAKE FOREST PAR,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1514245,Image Copyright HLP Inc. 2016,"3000 NE 194TH ST
LAKE FOREST PARK, WA 98155
(47.769307, -122.297044)","Description: no collar- he keeps taking them off :/<p></p>Age: Under 1 year<p></p>Location Lost: 3021 NE 194th Street<p></p>Notes: almost 1 but looks older/ bigger. Medium-dark brown to light brown and black. gold/hazel eyes, dark underside of nose, orangey top of nose and around. Long light inner ear hair, long light whiskers<p></p>Lost Date: 02/10/2016<p></p>"
K16-087565,A487643,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,6 YEARS,Unaltered,Domestic Longhair,Brn Tabby,02/10/2016 12:00:00 AM,Received on,19300 35TH AVE NE,LAKE FOREST PARK,WA,98155,LAKE FOREST PAR,37.090608,-95.712816,,Image Copyright HLP Inc. 2016,"19300 35TH AVE NE
LAKE FOREST PARK, WA 98155
(47.769143, -122.292002)","Received on: 2016-02-10<p></p> Found Near: 19300 35TH AVE NE, LAKE FOREST PARK WA 98155<p></p> Description: Brn Tabby Unaltered Domestic Longhair Cat<p></p> Age: 6 YEARS<p></p>"
K16-087651,A487764,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1514972,LOST,Chains,Dog,Over 1 year,Male,Chihuahua - Long Haired,Unknown,02/10/2016 12:00:00 AM,Date Lost,AUBURN WAY S,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1514972,Image Copyright HLP Inc. 2016,"AUBURN WAY S
",Description: <p></p>Age: Over 1 year<p></p>Location Lost: auburn way s<p></p>Notes: green rabies tag<p></p>Lost Date: 02/10/2016<p></p>
K16-087571,A487647,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1513718,In Public Home,,Dog,Over 1 year,Male,Cairn Terrier,Unknown,02/10/2016 12:00:00 AM,Date Found,S 179TH ST AND 42ND AVE S,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1513718,Image Copyright HLP Inc. 2016,"S 179TH ST AND 42ND AVE S
(47.441845, -122.281379)",Description: This dog is a young intact male grey Cairn Terrier.<p></p>Age: Over 1 year<p></p>Location Found: S 179th St and 42nd Ave S<p></p>Notes: <p></p>Found Date: 02/10/2016<p></p>Finder Address:  Seatac Wa 98188
K16-087555,A487598,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1513457,In Public Home,,Dog,Under 1 year,Male,Boxer,Brown / Black,02/10/2016 12:00:00 AM,Date Found,12101 TUKWILA INTERNATIONAL BOULEVARD #3,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1513457,Image Copyright HLP Inc. 2016,"12101 TUKWILA INTERNATIONAL BOULEVARD #3
",Description: <p></p>Age: Under 1 year<p></p>Location Found: 12101 Tukwila International Boulevard #3<p></p>Notes: <p></p>Found Date: 02/10/2016<p></p>Finder Address:  Seattle Wa 98168
K16-087541,A487501,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,5 YEARS,Unaltered,Domestic Shorthair,Brn Tabby,02/09/2016 12:00:00 AM,Received on,5100 RAVENNA PL NE,SEATTLE,WA,98105,SEATTLE,,,,Image Copyright HLP Inc. 2016,"5100 RAVENNA PL NE
SEATTLE, WA 98105
(47.66629, -122.301172)","Received on: 2016-02-09<p></p> Found Near: 5100 RAVENNA PL NE, SEATTLE WA 98105<p></p> Description: Brn Tabby Unaltered Domestic Shorthair Cat<p></p> Age: 5 YEARS<p></p>"
K16-087554,A487526,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1513323,LOST,Murphy,Dog,Over 1 year,Male,Golden Retriever,Unknown,02/09/2016 12:00:00 AM,Date Lost,192ND ST & 99TH PL S,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1513323,Image Copyright HLP Inc. 2016,"192ND ST &amp; 99TH PL S
","Description: 86lb golden retriever. soft floppy ears, loves people. he has a small round scar on the left side of his nose from a tick bite. he has a black nylon collar on.<p></p>Age: Over 1 year<p></p>Location Lost: 192nd st &amp; 99th pl s<p></p>Notes: He is microchipped but the info is out of date. No other tags on the collar. Very nice dog, has a small round scar on the left side of his nose.<p></p>Lost Date: 02/09/2016<p></p>"
K16-087544,A487504,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1513189,LOST,Meka,Dog,Over 1 year,Female,Alaskan Klee Kai,Unknown,02/09/2016 12:00:00 AM,Date Lost,120TH AVENUE NE & NE 70TH ST,KIRKLAND,WA,98033,KIRKLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1513189,Image Copyright HLP Inc. 2016,"120TH AVENUE NE &amp; NE 70TH ST
KIRKLAND, WA 98033
","Description: She looks like a Mini Husky with bright blue eyes. She had a sparkly gold collar and bow on but Lost her dog tag recently.  Here tail is fluffy with a curl when it is up.  She loves humans but sometimes doesn't like other dogs.<p></p>Age: Over 1 year<p></p>Location Lost: 120th Ave and 70th Street<p></p>Notes: She went missing from my fenced in backyard in Kirkland.  She Lost her most recent dog tags, but she is chipped.<p></p>Lost Date: 02/09/2016<p></p>"
K16-087552,A487524,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,1 YEAR 1 MONTH,Female,Domestic Mediumhair,White / Gray,02/09/2016 12:00:00 AM,Received on,3500 S 192ND ST,SEATAC,WA,98188,SEATAC,,,,Image Copyright HLP Inc. 2016,"3500 S 192ND ST
SEATAC, WA 98188
(47.430883, -122.288459)","Received on: 2016-02-09<p></p> Found Near: 3500 S 192ND ST, SEATAC WA 98188<p></p> Description: White / Gray Female Domestic Mediumhair Cat<p></p> Age: 1 YEAR 1 MONTH<p></p>"
K16-087532,A487476,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A487476,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Gracy,Dog,9 YEARS,Spayed Female,Mastiff / Boxer,Tan / White,02/08/2016 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A487476,Image Copyright HLP Inc. 2016,,"Received on: 2016-02-08<p></p> Description: Tan / White<p></p>  Spayed Female Mastiff / Boxer Dog<p></p> Age: 9 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi, my name is &ldquo;Gracy&rdquo; and I'm at the Regional AnimalServices shelter in Kent waiting for a new home.  You can also find me by my ID #A487476. I'mabout 9 years old and weigh around 90 pounds.<p></p><p></p>I&rsquo;m a very sweet girl who needs to lose a lot of weight. I&rsquo;m good on a leashand like going for walks, but because I&rsquo;m so overweight, I get tired prettyquickly. But get me on a good diet, limit my treats (but let&rsquo;s not get TOOcrazy now!) and keep exercising me and I&rsquo;ll start going on longer and longerwalks with you. Everybody wins!  <p></p><p></p>I love to meet people and am very happy and sweet. I know how to sit on commandand take treats very gently. I don&rsquo;t care much for loud small children, so Iwould do best in a home with kids 8 and older.   <p></p><p></p>If you&rsquo;re looking for a sweet and loving girl, I&rsquo;d love to meet you! <p></p><p></p>Please come and see me today!  02/16/16<p></p> Adoption Fee: $100.00<p></p>"
K16-087603,A487715,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1514289,LOST,Mouser,Cat,Over 1 year,Male,Siamese,Unknown,02/08/2016 12:00:00 AM,Date Lost,CYPRESS AND 204TH,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1514289,Image Copyright HLP Inc. 2016,"CYPRESS AND 204TH
(35.798304, -95.695366)","Description: No collar.  Blue eyes, somewhat crossed.  Primary color:  gray with tiger stripe and siamese patter .  Mix: tabby, siamese (like), polydactyl (extra claws front paws)...  He has faint tiger stripes.  Long tail (not busy) has racoon like markings.  Ha<p></p>Age: Over 1 year<p></p>Location Lost: Cypress and 204th<p></p>Notes: Blue eyes, somewhat crossed.  primary color:  gray.  Mix: tabby, siamese (like), polydactyl (extra claws front paws)...  He has faint tiger stripes.  Long tail (not busy) has racoon like markings.  Ha<p></p>Lost Date: 02/08/2016<p></p>"
K16-087530,A487474,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1512845,In Public Home,,Dog,Under 1 year,Female,Havanese,White / Black,02/08/2016 12:00:00 AM,Date Found,132 AVE NE AND 109TH PL,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1512845,Image Copyright HLP Inc. 2016,"132 AVE NE AND 109TH PL
(40.4351, -104.76368)",Description: havanese mix possibly. sweet and friendly.<p></p>Age: Under 1 year<p></p>Location Found: 132 Ave NE and 109th Pl<p></p>Notes: <p></p>Found Date: 02/08/2016<p></p>Finder Address:  Kirkland Wa 98033
K16-087537,A487491,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1513083,LOST,Nala,Dog,Over 1 year,Female,Alaskan Husky,Unknown,02/08/2016 12:00:00 AM,Date Lost,9000 S 218TH ST,KENT,WA,98031,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1513083,Image Copyright HLP Inc. 2016,"9000 S 218TH ST
KENT, WA 98031
(47.406675, -122.219719)","Description: All white husky.Timid but, very curious. Dark brown/black eyes. She has a little rip at the top of her right ear. She can sit, shake, lay, speak and whisper. Nose is a little pinkish in the center and merges to black around towards the edges.<p></p>Age: Over 1 year<p></p>Location Lost: 9014 s 218th st<p></p>Notes: Last seen was at a park on 218th street in kent wa. The picture we have/sent in is a picture of her in the middle of winter so her coat is actually starting to thin out a bit now for warmer weather.<p></p>Lost Date: 02/08/2016<p></p>"
K16-087517,A487454,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1512781,LOST,Sally,Dog,Over 1 year,Female,Dachshund,Unknown,02/07/2016 12:00:00 AM,Date Lost,16600 SE 70TH ST,BELLEVUE,WA,98006,BELLEVUE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1512781,Image Copyright HLP Inc. 2016,"16600 SE 70TH ST
BELLEVUE, WA 98006
(47.539682, -122.119757)","Description: Sally is a mini dachshund/aussie mix.  She has a brown coat.  Her collar was not on as she had just been given a bath.  She is very friendly and fiesty.<p></p>Age: Over 1 year<p></p>Location Lost: 16647 SE 70th St, Bellevue, WA 98006<p></p>Notes: <p></p>Lost Date: 02/07/2016<p></p>"
K16-087506,A487363,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1512343,In Public Home,,Dog,Unknown,Female,Pomeranian,Unknown,02/07/2016 12:00:00 AM,Date Found,140TH AVE SE & 187TH ST,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1512343,Image Copyright HLP Inc. 2016,"140TH AVE SE &amp; 187TH ST
",Description: Found this little girl running across 4 lanes of traffic. Please Help!<p></p>Age: Unknown<p></p>Location Found: 140th Ave SE &amp; 187th ST<p></p>Notes: <p></p>Found Date: 02/07/2016<p></p>Finder Address:  Fairwood WA 98058
K16-087553,A487525,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1513318,LOST,Cleo,Cat,Over 1 year,Female,Domestic Shorthair,Unknown,02/07/2016 12:00:00 AM,Date Lost,NE EATON LN,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1513318,Image Copyright HLP Inc. 2016,"NE EATON LN
",Description: She hides from strangers. She was a rescue pet and only likes her family (which is why I think she followed the boys outside Sunday night) She has a small frame and is about 9lbs. She has a little lump on the underside of her neck.<p></p>Age: Over 1 year<p></p>Location Lost: NE Eaton Ln<p></p>Notes: She is 9 years old and is very skittish with strangers.<p></p>Lost Date: 02/07/2016<p></p>
K16-087516,A487443,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1512624,LOST,Capone,Dog,Over 1 year,Male,Pit Bull,Unknown,02/06/2016 12:00:00 AM,Date Lost,11800 56TH PL S,SEATTLE,WA,98178,SEATTLE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1512624,Image Copyright HLP Inc. 2016,"11800 56TH PL S
SEATTLE, WA 98178
(47.497169, -122.268896)",Description: Brown red nose pitbull with white underbelly. Red collar. He is a big 2 year old puppy. He is really sweet.<p></p>Age: Over 1 year<p></p>Location Lost: 11862 56th place south<p></p>Notes: He is a full blood red nose pitbull. He has a red collar. He has been missing since 2/6/16 from skyway. There is a craiglist add that Found him I emailed it but no response yet. Please help<p></p>Lost Date: 02/06/2016<p></p>
K16-087501,A487356,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A487356,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Nahla,Dog,7 YEARS,Spayed Female,Maltese / Mix,White,02/06/2016 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A487356,Image Copyright HLP Inc. 2016,"12040 NE 85TH ST
KIRKLAND, WA 98033
(47.679306, -122.179979)","Received on: 2016-02-06<p></p> Description: White<p></p>  Spayed Female Maltese / Mix Dog<p></p> Age: 7 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p><p></p> Adoption Fee: $175.00<p></p>"
K16-087533,A487477,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1512912,LOST,Newman,Cat,Over 1 year,Male,Domestic Shorthair,Unknown,02/05/2016 12:00:00 AM,Date Lost,2000 208TH PL NE,SAMMAMISH,WA,98074,SAMMAMISH,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1512912,Image Copyright HLP Inc. 2016,"2000 208TH PL NE
SAMMAMISH, WA 98074
(47.628808, -122.061864)","Description: Very friendly, afraid of strange dogs.<p></p>Age: Over 1 year<p></p>Location Lost: 2041 208th Place NE<p></p>Notes: We live inside the Sahlee Golf Country Club, near the 6 South Tee Box. It is possible he is wandering around the golf course. He is mainly an indoor cat, 16+ years old. He doesn't really go outside.<p></p>Lost Date: 02/05/2016<p></p>"
K16-087481,A487334,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1511737,In Public Home,,Cat,Unknown,,American Shorthair,Brown / Black,02/05/2016 12:00:00 AM,Date Found,,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1511737,Image Copyright HLP Inc. 2016,,"Description: Signature Pointe Apts, Found her at 4am scratching at my door. Super clean and friendly. Looks like recently loss. Her coloring is Tortoiseshell. Looks fairly young.<p></p>Age: Unknown<p></p>Location Found: No Location Given<p></p>Notes: <p></p>Found Date: 02/05/2016<p></p>Finder Address:  Kent WA 98032"
